zi,is_zi,n_strokes,id_kangxi,meaning,pinyin,term,examples,variant,n_frequency,category
车,1,4,,cart / vehicle,chē,,,車,,
长,1,4,,long,cháng,,,長 镸,,
韦,1,4,,soft leather,wéi,,,韋,,
风,1,4,,wind,fēng,,,風,,
乍,0,5,,work,,,,,,
刍,0,5,,,,,,,,
戋,0,5,,,,,,,,
氺,0,5,,water,shuǐ,三点水,永、氷、氾,,,
疋,0,5,,foot / bolt of cloth,pǐ / shū,疋字底,疌、疏、疎,,,
𤴔,0,5,,,,,,,,
疒,0,5,104,sick / sickness,chuáng / nè,病字旁,疔、疚、疝,,,
癶,0,5,105,legs / footsteps,bō,登字头,癸、癹、発,,,
罒,0,5,,net,wǎng,,,,,
衤,0,5,,clothing,yī,,,,,
钅,0,5,,gold,jīn,,,,,
且,1,5,,,,,,,,
丘,1,5,,,,,,,,
丙,1,5,,,,,,,,
业,1,5,,,,,,,,
东,1,5,,,,,,,,
乎,1,5,,,,,,,,
乐,1,5,,,,,,,,
令,1,5,,,,,,,,
兄,1,5,,,,,,,,
兰,1,5,,,,,,,,
冬,1,5,,,,,,,,
出,1,5,,,,,,,,
击,1,5,,,,,,,,
包,1,5,,,,,,,,
北,1,5,,,,,,,,
半,1,5,,,,,,,,
占,1,5,,,,,,,,
卡,1,5,,,,,,,,
去,1,5,,,,,,,,
古,1,5,,,,,,,,
句,1,5,,,,,,,,
另,1,5,,,,,,,,
只,1,5,,,,,,,,
可,1,5,,,,,,,,
台,1,5,,,,,,,,
四,1,5,,,,,,,,
央,1,5,,,,,,,,
失,1,5,,,,,,,,
头,1,5,,,,,,,,
宁,1,5,,,,,,,,
它,1,5,,,,,,,,
尼,1,5,,,,,,,,
市,1,5,,,,,,,,
布,1,5,,,,,,,,
平,1,5,,,,,,,,
必,1,5,,,,,,,,
斥,1,5,,,,,,,,
旦,1,5,,,,,,,,
未,1,5,,,,,,,,
末,1,5,,,,,,,,
本,1,5,,,,,,,,
术,1,5,,,,,,,,
正,1,5,,,,,,,,
母,1,5,, mother,mǔ / wú,,母、每、毐,毋 ⺟,,
玄,1,5,95,profound,xuán,,玅、率、玈,,,
玉,1,5,,jade,yù,,玻、瑪、璧,王 ⺩ 玊,,
瓜,1,5,97,melon,guā,,瓝、瓞、瓟,,,
甘,1,5,99,sweet,gān,,甚、甜、甛,,,
生,1,5,100,life,shēng,,甡、產、甥,,,
用,1,5,101,use,yòng,,甩、甫、甬,甩,,
田,1,5,102,field,tián,,由、甲、申,,,
由,1,5,,follow / reason,yóu,,,,,
甲,1,5,,,,,,,,
申,1,5,,,,,,,,
电,1,5,,,,,,,,
白,1,5,106,white,bái,,百、皀、皁,,,
皮,1,5,107,skin,pí,,皯、皰、皴,,,
皿,1,5,108,dish,mǐn,,盂、盃、盅,,,
目,1,5,,eye,mù,目字旁,盯、盱、盲,⺫,,
矛,1,5,110,spear,máo,,矜、矞、矟,,,
矢,1,5,111,arrow,shǐ,,矣、知、矧,,,
石,1,5,112,stone,shí,,矸、矻、矼,,,
示,1,5,,spirit / show,shì,示字旁,礼、礽、社,礻,,
禾,1,5,115,grain,hé,禾木旁,禿、秀、私,,,
穴,1,5,116,cave,xué,,究、穸、空,,,
立,1,5,117,stand,lì,,竑、竒、竘,,,
鸟,1,5,,bird,niǎo,,,鳥,,
龙,1,5,,dragon,lóng,,,龍,,
囟,0,6,,,,,,,,
尧,0,6,,,,,,,,
屰,0,6,,,,,,,,
⺮,0,6,,bamboo,zhú,竹字头,竺、竽、竿,,,
⺶,0,6,,sheep,yáng,,羋、羌、美,,,
⺷,0,6,,sheep,yáng,,羋、羌、美,,,
聿,0,6,,brush,yù,,肄、肆、肅,⺺ 肀 ⺻,,
艮,0,6,138,stop and stare / stopping,gèn,,良、艱,,,
虍,0,6,141,tiger,hū,,虎、虐、虒,,,
覀,0,6,,cover,yà / xià,,西、要、覂,,,
交,1,6,,,,,,,,
共,1,6,,,,,,,,
各,1,6,,,,,,,,
合,1,6,,,,,,,,
吉,1,6,,,,,,,,
向,1,6,,,,,,,,
吕,1,6,,,,,,,,
寺,1,6,,,,,,,,
并,1,6,,,,,,,,
庄,1,6,,,,,,,,
式,1,6,,,,,,,,
曲,1,6,,,,,,,,
竹,1,6,,bamboo,zhú,竹字头,竺、竽、竿,⺮,,
米,1,6,119,rice,mǐ,米字旁,籸、籹、籽,,,
