zi,n_frequency,category,is_radical,n_strokes
乛,3.0,radical,Y,1
廴,3.0,人-行,Y,3
彑,3.0,radical,Y,3
上,3.0,数理-时空,,3
下,3.0,数理-时空,,3
义,3.0,概念-,,3
叉,3.0,社会-,,3
旡,3.0,天文-,Y,4
耂,3.0,概念-,Y,4
专,3.0,,,4
以,3.0,,,4
冈,3.0,地理-土,,4
凶,3.0,概念-,,4
匀,3.0,概念-,,4
开,3.0,概念-,,4
无,3.0,天文-,,4
爪,3.0,动物-,,4
兰,3.0,植物-,,5
四,3.0,数理-计算,,5
电,3.0,天文-,,5
屰,3.0,概念-,Y,6
向,3.0,数理-时空,,6
庄,3.0,社会-,,6
肉,3.0,人-生理,,6
色,3.0,数理-颜色,,6
幷,3.0,概念-,Y,8
隶,3.0,社会-,,8
柬,3.0,社会-,,9
鼓,3.0,社会-,,13
鼻,3.0,人-生理,,14
丹,3.0,数理-颜色,Y,4
龴,2.0,radical,Y,2
屮,2.0,radical,Y,3
万,2.0,数理-计算,,3
丈,2.0,数理-度量,,3
与,2.0,概念-,,3
习,2.0,社会-,,3
攴,2.0,概念-,Y,4
⺧,2.0,动物-,Y,4
乌,2.0,数理-颜色,Y,4
五,2.0,数理-计算,,4
六,2.0,数理-计算,,4
办,2.0,概念-,,4
友,2.0,社会-,,4
太,2.0,概念-,,4
尺,2.0,数理-度量,,4
癶,2.0,社会-,Y,5
乐,2.0,社会-,,5
另,2.0,概念-,,5
头,2.0,人-生理,,5
市,2.0,社会-,,5
布,2.0,社会-,,5
斥,2.0,概念-,,5
本,2.0,天文-木,,5
囟,2.0,概念-,Y,6
式,2.0,,,6
网,2.0,社会-,,6
老,2.0,人-伦理,,6
舛,2.0,,,7
釆,2.0,植物-,,7
黾,2.0,概念-,Y,8
责,2.0,概念-,,8
首,2.0,人-生理,,9
香,2.0,人-生理,,9
式,2.0,概念-,,6
戌,2.0,,Y,6
乁,1.0,radical,Y,1
亅,1.0,radical,Y,1
入,1.0,概念-,,2
刁,1.0,社会-,,2
亍,1.0,,Y,3
夊,1.0,radical,Y,3
⺌,1.0,概念-,Y,3
尢,1.0,概念-,Y,3
⻏,1.0,地理-,Y,3
朩,1.0,天文-木,Y,4
禸,1.0,radical,Y,4
为,1.0,概念-,,4
升,1.0,概念-,,4
毋,1.0,概念-,Y,4
乎,1.0,概念-,,5
击,1.0,社会-,,5
⺷,1.0,动物-,Y,6
曲,1.0,社会-,,6
竹,1.0,植物-,,6
麦,1.0,植物-,,7
東,1.0,数理-时空,,8
阜,1.0,地理-土,,8
韭,1.0,植物-,,9
鬥,1.0,社会-,,10
黍,1.0,植物-,Y,12
⺀,0.0,radical,Y,2
⺈,0.0,radical,Y,2
⺁,0.0,radical,Y,2
⺍,0.0,概念-,Y,3
个,0.0,数理-度量,,3
么,0.0,概念-,,3
已,0.0,概念-,,3
乡,0.0,社会-,,3
飞,0.0,动物-,,3
⺩,0.0,radical,Y,4
罓,0.0,社会-,Y,4
匹,0.0,数理-度量,,4
氺,0.0,天文-水,Y,5
𤴔,0.0,人-行,Y,5
卡,0.0,概念-,,5
⺶,0.0,动物-,Y,6
卤,0.0,radical,,7
㕻,0.0,,,7
龟,0.0,动物-,,7
禺 ,0.0,,,9
黄,0.0,数理-颜色,,12
先,,数理-时空,,6
南,,数理-时空,,9
在,,数理-时空,,6
弟,,人-伦理,,7
丩,,radical,,2
乇,,radical,Y,3
鼠,,动物-生肖,Y,13
巳,,数理-天干,Y,3
壬,,数理-天干,Y,4
予,,社会-,Y,4
亚,,概念-,Y,6
币,,社会-商业,Y,4
克,,概念-,Y,7
戊,,数理-天干,Y,5
癸,,数理-天干,Y,8
卵,,人-生理,Y,7
夭,,概念-,Y,4
册,,数理-度量,,5
史,,社会-文化,,5
后,,数理-时空,,6
盾,,社会-军事,,9
