zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en,is_ele
择,12620,,扌,,又,二,,,,,,丨,2024-01-26 16:38:26,,Y,,from HSK,to select/to choose/to pick over/to pick out/to differentiate/to eliminate/also pr. [zhai2],0
泽,12622,,氵,,又,二,,,,,,丨,2024-01-26 23:09:41,,Y,,from HSK,pool/pond/(of metals etc) luster/favor or beneficence/damp/moist,0
蘸,12749,,酉,,艹,,,,焦,,,,2024-01-28 13:56:48,,Y,,from HSK,"to dip in (ink, sauce etc)",0
疹,12889,疒,,,,人,彡,,,,,,2024-01-28 12:35:52,,Y,,from HSK,measles/rash,0
癌,1289,疒,,,,品,山,,,,,,2024-01-25 01:35:51,,Y,,from HSK,cancer/carcinoma/also pr. [yan2],0
诊,12895,,讠,,人,,彡,,,,,,2024-01-23 23:03:12,,Y,,from HSK,to examine or treat medically,0
质,13064,厂,,,,十,贝,,,,,,2024-01-26 16:42:32,,Y,,from HSK,character/nature/quality/plain/to pawn/pledge/hostage/to question/Taiwan pr. [zhi2],0
贮,13225,,贝,,宀,,一,,,,,,2024-01-28 11:12:47,,Y,,from HSK,to store/to save/stockpile/Taiwan pr. [zhu3],0
走,13439,,,,土,,,,,,,,2024-01-17 00:18:38,,Y,,"from HSK, incomplete","to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)",1
报,1530,,扌,,,卩, 又,,,,,,2024-01-16 22:52:41,,Y,,from HSK,"to announce/to inform/report/newspaper/recompense/revenge/CL:份[fen4],張|张[zhang1]",0
簿,1937,,氵,,⺮,甫,寸,,,,,,2024-01-28 13:29:16,,Y,,from HSK,a book/a register/account-book,0
鼠,201,,,𠄌 丶 丶,臼,,𠄌 丶 丶,,,𠄌,,,2024-01-27 18:34:54,,Y,,from HSK,(bound form) rat;  mouse,0
册,2013,,⺆,,,,,,⺆,,,一,2024-01-28 10:38:07,,Y,,from HSK,book/booklet/classifier for books,0
搀,2084,,扌,,免,,冫,,,,,,2024-01-28 12:48:18,,Y,,from HSK,to take by the arm and assist/to mix/to blend/to dilute/to adulterate,0
缠,2105,,纟,,广,里,,,,,,,2024-01-27 21:31:25,,Y,,from HSK,to wind around/to wrap round/to coil/tangle/to involve/to bother/to annoy,0
馋,2113,,饣,,,免,冫,,,,,,2024-01-27 17:15:27,,Y,,from HSK,gluttonous/greedy/to have a craving,0
鬼,243,,,,丿,田,儿,,,,,厶,2024-01-26 23:25:06,,Y,,from HSK,disembodied spirit;  ghost,1
串,2483,,,,口,,口,,,,丨,,2024-01-16 22:57:04,,Y,,from HSK,"to string together/to skewer/to connect wrongly/to gang up/to rove/string/bunch/skewer/classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across",0
戳,2548,羽,,隹,,戈,,,,,,,2024-01-28 13:30:17,,Y,,from HSK,to jab/to poke/to stab/(coll.) to sprain/to blunt/to fuck (vulgar)/to stand/to stand (sth) upright/stamp/seal,0
第,2988,,,丿,⺮,弔,,,,,,,2024-01-27 12:07:44,,Y,,from HSK,"""(prefix indicating ordinal number, as in 第六[di4 liu4] """"sixth"""")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just""",0
盾,3254,厂,,,,十,目,,,,,,2024-01-26 23:42:30,,Y,,from HSK,"shield/(currency) Vietnamese dong/currency unit of several countries (Indonesian rupiah, Dutch gulden etc)",0
惰,3287,,忄,,左,,月,,,,,,2024-01-27 18:46:22,,Y,,from HSK,lazy,0
噩,3326,口,,口,,,,口,,口,王,,2024-01-25 02:07:58,,Y,,from HSK,startling,0
贰,3404,,二,贝,,,,,弋,,,,2024-01-28 10:12:02,,Y,,from HSK,two (banker's anti-fraud numeral)/to betray,0
敢,3827,乛,耳,,,攵,,,,,,,2024-01-27 12:09:49,,Y,,from HSK,to dare/daring/(polite) may I venture,0
箍,4046,,,扌,⺮,,匝,,,,,,2024-01-25 08:33:45,,Y,,from HSK,hoop/to bind with hoops,0
候,4519,,亻 丨,,乛 一,,矢,,,,,,2024-01-27 08:58:24,,Y,,from HSK,to wait/to inquire after/to watch/season/climate/(old) period of five days,0
徽,4742,,彳,,山,,糸,,攵,,,,2024-01-25 21:13:57,,Y,,from HSK,badge/emblem/insignia/crest/logo/coat of arms,0
拣,5160,,扌,,,东,,,,,,一,2024-01-26 16:07:12,,Y,,from HSK,to choose/to pick/to sort out/to pick up,0
韩,531,十,日,十,,韦,,,,,,,2024-01-28 12:45:42,,Y,,from HSK,"Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄/Korea from the fall of the Joseon dynasty in 1897/Korea, esp. South Korea 大韓民國|大韩民国/surname Han",0
截,5398,十,,隹,,戈,,,,,,,2024-01-27 21:42:29,,Y,,from HSK,to cut off (a length)/to stop/to intercept/section/chunk/length,0
浸,5481,,氵,,彐,冖,又,,,,,,2024-01-27 10:30:17,,Y,,from HSK,to immerse/to soak/to steep/gradually,0
腾,56,,月,,丷,夫,马,,,,,,2024-01-27 18:33:51,,Y,,from HSK,(bound form) to gallop;  to prance/(bound form) to soar,0
爵,5774,,,艮,爫,罒,,,,寸,,,2024-01-25 21:30:28,,Y,,from HSK,ancient bronze wine holder with 3 legs and loop handle/nobility,0
款,6073,士,,示,,欠,,,,,,,2024-01-27 12:24:39,,Y,,from HSK,"section/paragraph/funds/CL:筆|笔[bi3],個|个[ge4]/classifier for versions or models (of a product)",0
练,6569,,纟,,,东,,,,,,一,2024-01-26 22:43:16,,Y,,from HSK,to practice/to train/to drill/to perfect (one's skill)/exercise/(literary) white silk/to boil and scour raw silk,0
茫,7121,,氵,,艹,亡,,,,,,,2024-01-27 00:04:43,,Y,,from HSK,"vast, with no clear boundary/fig. hazy/indistinct/unclear/confused",0
貌,7170,,豸,,白,,儿,,,,,,2024-01-25 22:00:38,,Y,,from HSK,appearance,0
恼,7611,,忄,,亠,乂,凵,,,,,,2024-01-27 01:13:54,,Y,,from HSK,to get angry,0
脑,7615,,月,,亠,乂,凵,,,,,,2024-01-27 09:12:07,,Y,,from HSK,brain/mind/head/essence,0
萍,8152,,氵,,艹,平,,,,,,,2024-01-27 10:42:23,,Y,,from HSK,duckweed,0
柒,8239,氵,,,七,木,,,,,,,2024-01-28 10:30:07,,Y,,from HSK,seven (banker's anti-fraud numeral),0
前,8400,,月,,丷 一,,,,刂,,,,2024-01-27 01:17:14,,Y,,from HSK,front/forward/ahead/first/top (followed by a number)/future/ago/before/BC (e.g. 前293年)/former/formerly,0
侵,8548,,亻,,彐,冖,又,,,,,,2024-01-27 00:12:11,,Y,,from HSK,to invade/to encroach/to infringe/to approach,0
求,8654,,,,一 ,水,,丶,,,,,2024-01-16 23:46:39,,Y,,from HSK,to seek/to look for/to request/to demand/to beseech,0
犬,8769,,,,,大,,丶,,,,,2023-12-28 14:57:15,,Y,,from HSK,dog/Kangxi radical 94,1
瘸,8782,疒,,,,加,肉,,,,,,2024-01-25 22:13:58,,Y,,from HSK,lame,0
萨,886,,阝,,艹,产,,,,,,,2024-01-28 11:39:32,,Y,,from HSK,Bodhisattva/surname Sa,0
傻,9096,,亻,,囟,儿,夂,,,,,,2024-01-27 19:05:41,,Y,,from HSK,foolish,0
伤,9165,,亻,,丿 一,力,,,,,,,2024-01-15 13:21:46,,Y,,from HSK,to injure/injury/wound,0
声,9306,,,,士,,,,,,,,2024-01-16 23:52:50,,Y,,"from HSK, incomplete",sound/voice/tone/noise/reputation/classifier for sounds,0
蜀,934,,,,罒,勹,,,,,,虫,2024-01-28 14:45:32,,Y,,from HSK,"short name for Sichuan 四川[Si4 chuan1] province/one of the Three Kingdoms 三國|三国[San1 guo2] after the Han dynasty, also called 蜀漢|蜀汉[Shu3 Han4], situated around what is now Sichuan province",0
释,9427,,釆,,又,二,,,,,,丨,2024-01-27 17:47:59,,Y,,from HSK,to explain/to release/Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2])/Buddhism,0
饰,9429,,饣,,丿 一,,巾,,,,,,2024-01-26 22:54:20,,Y,,from HSK,decoration/ornament/to decorate/to adorn/to hide/to conceal (a fault)/excuse (to hide a fault)/to play a role (in opera)/to impersonate,0
丝,9583,,纟,,,,一,,纟,,,,2024-01-21 01:07:22,,Y,,from HSK,"silk/thread/trace/(cuisine) shreds or julienne strips/CL:條|条[tiao2]/classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc",0
琐,9786,,王,,小,,贝,,,,,,2024-01-28 12:09:07,,Y,,from HSK,fragmentary/trifling,0
