zi,is_zi,id_kangxi,meaning,pinyin,n_strokes,term,examples,variant,n_frequency,category,sub_category
目,1,,eye,mù,5,目字旁,盯、盱、盲,⺫,79,人-生理,eye
矛,1,110.0,spear,máo,5,,矜、矞、矟,,8,社会-,military
矢,1,111.0,arrow,shǐ,5,,矣、知、矧,,16,社会-,military
石,1,112.0,stone,shí,5,,矸、矻、矼,,71,地理-,
示,1,,spirit / show,shì,5,示字旁,礼、礽、社,礻,13,社会-,faith
禾,1,115.0,grain,hé,5,禾木旁,禿、秀、私,,78,植物-,food
穴,1,116.0,cave,xué,5,,究、穸、空,,41,社会-,housing
立,1,117.0,stand,lì,5,,竑、竒、竘,,34,人-生理,foot
鸟,1,,bird,niǎo,5,,,鳥,62,动物-,bird
龙,1,,dragon,lóng,5,,,龍,10,动物-,
囟,0,,,,6,,,,2,,
尧,0,,,,6,,,,9,,
屰,0,,,,6,,,,3,概念-,
⺮,0,,bamboo,zhú,6,竹字头,竺、竽、竿,,108,植物-,
⺶,0,,sheep,yáng,6,,羋、羌、美,,0,动物-,
⺷,0,,sheep,yáng,6,,羋、羌、美,,1,动物-,mammal
聿,0,,brush,yù,6,,肄、肆、肅,⺺ 肀 ⺻,5,社会-,tool
艮,0,138.0,stop and stare / stopping,gèn,6,,良、艱,,19,地理-,
虍,0,141.0,tiger,hū,6,,虎、虐、虒,,12,动物-,mammal
覀,0,,cover,yà / xià,6,,西、要、覂,,7,概念-,
交,1,,,,6,,,,19,概念-,
共,1,,,,6,,,,15,社会-,
各,1,,,,6,,,,20,概念-,
合,1,,,,6,,,,18,概念-,
吉,1,,,,6,,,,14,概念-,
向,1,,,,6,,,,3,数理-时空,location
吕,1,,,,6,,,,4,,
寺,1,,,,6,,,,11,,
并,1,,,,6,,,,6,概念-,
庄,1,,,,6,,,,3,社会-,org
式,1,,,,6,,,,2,,
曲,1,,,,6,,,,1,社会-,music
竹,1,,bamboo,zhú,6,竹字头,竺、竽、竿,⺮,1,植物-,
米,1,119.0,rice,mǐ,6,米字旁,籸、籹、籽,,51,人-生理,food
糸,1,,silk,mì,6,绞丝旁,系、糾、紀,糹 纟,32,植物-,
缶,1,121.0,jar,fǒu,6,,缸、缺、缽,,16,社会-,container
网,1,,net,wǎng,6,,罔、罕、罘,⺲ 罒 ⺳ 罓,2,社会-,tool
羊,1,,sheep,yáng,6,,羋、羌、美,⺶ ⺷,37,动物-,mammal
羽,1,124.0,feather,yǔ,6,,羿、翀、翁,,42,动物-,bird
老,1,,old,lǎo,6,老字头,考、者、耆,耂,2,,
而,1,126.0,and,ér,6,,耍、耎、耏,,11,概念-,
耒,1,127.0,plow / plough,li / lěi,6,,耔、耕、耖,,7,社会-,tool
