link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LD-M,2,遨,50,,,辶,,敖,,,,,,,2024-03-06 07:25:48,,Y,,,
LD-M,2,遭,12591,,,辶,,曹,,,,,,,,遇也。从辵曹聲。一曰邐行。,Y,1127,in HSK,
LD-M,2,遮,12817,,,辶,,庶,,,,,,,,遏也。从辵庶聲。,Y,1185,in HSK,
LD-M,2,遰,2998,,,辶,,帶,,,,,,,,去也。从辵帶聲。,Y,1149,,
LD-M,2,遴,6687,,,辶,,㷠,,,,,,,,行難也。从辵㷠聲。《易》曰：“以往䢯。”,Y,1159,,
LD-M,2,遵,13491,,,辶,,尊,,,,,,,,循也。从辵尊聲。,Y,1107,in HSK,
LD-M,2,遹,12372,,,辶,,矞,,,,,,,,回避也。从辵矞聲。,Y,1156,,
LD-M,2,遽,5710,,,辶,,豦,,,,,,,,傳也。一曰窘也。从辵豦聲。,Y,1205,,
LD-M,2,避,1701,,,辶,,辟,,,,,,,,回也。从辵辟聲。,Y,1157,in HSK,
LD-M,2,邀,11688,,,辶,,敫,,,,,,,2024-01-27 23:19:49,,Y,,from HSK,to invite/to request/to intercept/to solicit/to seek
LD-M,2,邂,11143,,,辶,,解,,,,,,,,邂逅，不期而遇也。从辵解聲。,Y,1209,,
LD-M,2,邋,6188,,,辶,,巤,,,,,,,,搚也。从辵巤聲。,Y,1180,,
LD-M,2,邎,11714,,,辶,,䌛,,,,,,,,行邎徑也。从辵䌛聲。,Y,1099,,
LD-M,2,𧼒,13733,,,走,,臤,,,,,,,2024-01-21 18:15:45,行皃。从走臤聲。讀若菣。,Y,,,
