link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-R,2,蛧,10401,,虫,,,,,,网,,,,,蛧蜽，山川之精物也。淮南王說：蛧蜽，狀如三歲小兒，赤黑色，赤目，長耳，美髮。从虫网聲。《國語》曰：“木石之怪夔蛧蜽。”,Y,8878,,
L-R,2,蛭,13055,,虫,,,,,,至,,,,,蟣也。从虫至聲。,Y,8766,,
L-R,2,蛵,11187,,虫,,,,,,巠,,,,,丁蛵，負勞也。从虫巠聲。,Y,8771,,
L-R,2,蛸,9196,,虫,,,,,,肖,,,,,𧓎蛸，堂蜋子。从虫肖聲。,Y,8800,,
L-R,2,蛹,12162,,虫,,,,,,甬,,,,,繭蟲也。从虫甬聲。,Y,8752,in HSK,
L-R,2,蛾,3311,,虫,,,,,,我,,,,,羅也。从虫我聲。,Y,8791,in HSK,
L-R,2,蜉,3700,,虫,,,,,,寽,,,,,商何也。从虫寽聲。,Y,8837,,
L-R,2,蜎,12403,,虫,,,,,,肙,,,,,蜎也。从虫肙聲。,Y,8863,,
L-R,2,蜙,9631,,虫,,,,,,松,,,,,蜙蝑，以股鳴者。从虫松聲。,Y,8819,,
L-R,2,蜢,7272,,虫,,,,,,孟,,,,,虴蜢也。从虫孟聲。,Y,8898,,
L-R,2,蜩,10070,,虫,,,,,,周,,,,,蟬也。从虫周聲。《詩》曰：“五月鳴蜩。”,Y,8823,,
L-R,2,蜮,12365,,虫,,,,,,或,,,,,短狐也。似鼈，三足，以气䠶害人。从虫或聲。,Y,8876,,
L-R,2,蜻,8589,,虫,,,,,,青,,,,,蜻蛚也。从虫青聲。,Y,8830,in HSK,
L-R,2,蜽,6589,,虫,,,,,,兩,,,,,蛧蜽也。从虫兩聲。,Y,8879,,
L-R,2,蝎,11076,,虫,,,,,,曷,,,,,蝤蠐也。从虫曷聲。,Y,8780,in HSK,
L-R,2,蝑,11272,,虫,,,,,,胥,,,,,蜙蝑也。从虫胥聲。,Y,8820,,
L-R,2,蝒,7330,,虫,,,,,,面,,,,,馬蜩也。从虫面聲。,Y,8796,,
L-R,2,蝓,12273,,虫,,,,,,俞,,,,,虒蝓也。从虫俞聲。,Y,8862,,
L-R,2,蝘,11587,,虫,,,,,,匽,,,,,在壁曰蝘蜓，在艸曰蜥易。从虫匽聲。,Y,8759,,
L-R,2,蝝,12432,,虫,,,,,,彖,,,,,復陶也。劉歆說：蝝，蚍蜉子。董仲舒說：蝗子也。从虫彖聲。,Y,8787,,
L-R,2,蝤,8661,,虫,,,,,,酋,,,,,蝤𧓉也。从虫酋聲。,Y,8778,,
L-R,2,蝮,3757,,虫,,,,,,复,,,,,虫也。从虫复聲。,Y,8742,,
L-R,2,螃,7913,,虫,,,,,,旁,,,,2024-01-25 22:05:25,,Y,,from HSK,crab
L-R,2,螉,10560,,虫,,,,,,翁,,,,,蟲，在牛馬皮者。从虫翁聲。,Y,8747,,
L-R,2,融,8903,,鬲,,,,,,虫,,,,2024-01-27 23:14:58,,Y,,from HSK,to melt/to thaw/to blend/to merge/to be in harmony
L-R,2,螘,11873,,虫,,,,,,豈,,,,,蚍蜉也。从虫豈聲。,Y,8792,,
L-R,2,螟,7431,,虫,,,,,,冥,,,,,蟲食穀葉者。吏冥冥犯法卽生螟。从虫从冥，冥亦聲。,Y,8763,in HSK,
L-R,2,螣,9974,,虫,,,,,,朕,,,,,神蛇也。从虫朕聲。,Y,8743,,
L-R,2,螭,2304,,虫,,,,,,离,,,,,若龍而黃，北方謂之地螻。从虫离聲。或云無角曰螭。,Y,8852,,
L-R,2,螳,9916,,虫,,,,,,堂,,,,,螳蜋也。从虫堂聲。,Y,8900,,
L-R,2,螾,12048,,虫,,,,,,寅,,,,,側行者。从虫寅聲。,Y,8746,,
L-R,2,蟀,9527,,虫,,,,,,率,,,,2024-01-25 22:23:21,,Y,,from HSK,used in 蟋蟀[xi1 shuai4]
L-R,2,蟅,12848,,虫,,,,,,庶,,,,,蟲也。从虫庶聲。,Y,8821,,
L-R,2,蟆,7045,,虫,,,,,,莫,,,,,蝦蟆也。从虫莫聲。,Y,8871,in HSK,
L-R,2,蟊,7137,,䖵,,,,,,矛,,,,,蠿蟊也。从䖵矛聲。,Y,8910,,
L-R,2,蟋,10756,,虫,,,,,,悉,,,,,蟋𧍓也。从虫悉聲。,Y,8899,in HSK,
L-R,2,蟜,5327,,虫,,,,,,喬,,,,,蟲也。从虫喬聲。,Y,8773,,
L-R,2,蟠,7890,,虫,,,,,,番,,,,,鼠婦也。从虫番聲。,Y,8817,,
L-R,2,蟥,4716,,虫,,,,,,黃,,,,,𧑐蟥也。从虫黃聲。,Y,8803,,
L-R,2,蟪,4801,,虫,,,,,,惠,,,,,蟪蛄，蟬也。从虫惠聲。,Y,8895,,
L-R,2,蟺,9153,,虫,,,,,,亶,,,,,夗蟺也。从虫亶聲。,Y,8864,,
L-R,2,蠉,11347,,虫,,,,,,瞏,,,,,蟲行也。从虫瞏聲。,Y,8841,,
L-R,2,蠓,7273,,虫,,,,,,蒙,,,,,蠛蠓也。从虫蒙聲。,Y,8832,,
L-R,2,蠖,4861,,虫,,,,,,蒦,,,,,尺蠖，屈申蟲。从虫蒦聲。,Y,8786,,
L-R,2,蠗,13337,,虫,,,,,,翟,,,,,禺屬。从虫翟聲。,Y,8881,,
L-R,2,蠛,7386,,虫,,,,,,蔑,,,,,蠛蠓，細蟲也。从虫蔑聲。,Y,8896,,
L-R,2,蠡,6421,,䖵,,,,,,彖,,,,,蟲齧木中也。从䖵彖聲。,Y,8921,,
L-R,2,蠰,9183,,虫,,,,,,襄,,,,,𧒾蠰也。从虫襄聲。,Y,8798,,
L-R,2,蠵,10757,,虫,,,,,,巂,,,,,大龜也。以胃鳴者。从虫巂聲。,Y,8872,,
L-R,2,蠸,8759,,虫,,,,,,雚,,,,,蟲也。一曰大螫也。讀若蜀都布名。从虫雚聲。,Y,8762,,
L-R,2,蠹,3207,,䖵,,,,,,橐,,,,,木中蟲。从䖵橐聲。,Y,8920,,
L-R,2,蠽,5418,,䖵,,,,,,𢧵,,,,,小蟬蜩也。从䖵𢧵聲。,Y,8908,,
L-R,2,衁,4696,,血,,,,,,亡,,,,,血也。从血亡聲。《春秋傳》曰：“士刲羊，亦無𥁃也。”,Y,3153,,
L-R,2,衄,7802,,血,,,,,,丑,,,,,鼻出血也。从血丑聲。,Y,3157,,
L-R,2,衎,5896,,行,,,,,,干,,,,,行喜皃。从行干聲。,Y,1273,,
L-R,2,衙,11484,,行,,,,,,吾,,,,,行皃。从行吾聲。,Y,1272,in HSK,
L-R,2,衢,8719,,行,,,,,,瞿,,,,,四達謂之衢。从行瞿聲。,Y,1268,,
L-R,2,覂,3619,,襾,,,,,,乏,,,,,反覆也。从襾乏聲。,Y,4829,,
L-R,2,覜,10086,,見,,,,,,兆,,,,,諸矦三年大相聘曰頫。頫，視也。从見兆聲。,Y,5488,,
L-R,2,覰,8735,,見,,,,,,虘,,,,,拘覰，未致密也。从見虘聲。,Y,5465,,
L-R,2,规,4203,,夫,,,,,,见,,,,2024-01-18 02:11:08,,Y,,from HSK,compass/a rule/regulation/to admonish/to plan/to scheme
L-R,2,譱,9156,,誩,,,,,,羊,,,,,吉也。从誩从羊。此與義美同意。,Y,1728,,
L-R,2,设,51,,讠,,,,,,殳,,,,2025-02-16 12:49:22,,Y,,from HSK,to set up;  to put in place/(math.) given
