zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
丷,ba1,,,Y,Y,,,,"""""""eight"""" component in Chinese characters/archaic variant of 八[ba1]""",HSK_8,1387,Y,4006.0
勹,bao1,,,Y,Y,,,,archaic variant of 包[bao1],HSK_8,1505,Y,4059.0
釆,bian4,,,Y,Y,,,,old variant of 辨[bian4],HSK_8,1753,Y,4204.0
冫,bing1,,,Y,Y,,,,"""""""ice"""" radical in Chinese characters (Kangxi radical 15), occurring in 冰[bing1], 次[ci4] etc, known as 兩點水|两点水[liang3 dian3 shui3]""",HSK_8,1817,Y,4250.0
癶,bo1,,,Y,Y,,,,"Kangxi radical 105, known as 登字頭|登字头[deng1 zi4 tou2]",HSK_8,1860,Y,4275.0
艹,cao3,,,Y,Y,,,,grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5],HSK_8,2006,Y,4351.0
彳,chi4,,,Y,Y,,,,step with the left foot (Kangxi radical 60)/see also 彳亍[chi4 chu4],HSK_8,2341,Y,4562.0
辶,chuo4,,,Y,Y,,,,to walk (side part of split character),HSK_8,2563,Y,4690.0
刂,dao1,,,Y,Y,,,,Kangxi radical 18 (刀[dao1]) as a vertical side element/see also 立刀旁[li4 dao1 pang2]/see also 側刀旁|侧刀旁[ce4 dao1 pang2],HSK_8,2866,Y,4893.0
匚,fang1,,,Y,Y,,,,"""""""right open box"""" radical (Kangxi radical 22), occurring in 区, 医, 匹 etc""",HSK_8,3477,Y,5259.0
缶,fou3,,,Y,Y,,,,pottery,HSK_8,3633,Y,5359.0
艮,gen3,,,Y,Y,,,,blunt/tough/chewy,HSK_8,3950,Y,5544.0
艮,gen4,,,Y,Y,,,,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing mountain/☶/ancient Chinese compass point: 45° (northeast)",HSK_8,3952,Y,5545.0
廾,gong3,,,Y,Y,,,,hands joined,HSK_8,3993,Y,5570.0
虍,hu1,,,Y,Y,,,,"""stripes of a tiger/""""tiger"""" radical in Chinese characters (Kangxi radical 141)""",HSK_8,4541,Y,5920.0
灬,huo3,,,Y,Y,,,,"""""""fire"""" radical in Chinese characters (Kangxi radical 86), occurring in 熙, 然, 熊 etc""",HSK_8,4840,Y,6104.0
彐,ji4,,,Y,Y,,,,pig snout (Kangxi radical 58),HSK_8,4990,Y,6205.0
卩,jie2,,,Y,Y,,,,"""""""seal"""" radical in Chinese characters (Kangxi radical 26)""",HSK_8,5390,Y,6440.0
冂,jiong1,,,Y,Y,,,,"radical in Chinese characters (Kangxi radical 13), occurring in 用[yong4], 同[tong2], 網|网[wang3] etc, referred to as 同字框[tong2 zi4 kuang4]",HSK_8,5557,Y,6540.0
凵,kan3,,,Y,Y,,,,receptacle,HSK_8,5879,Y,6760.0
耒,lei3,,,Y,Y,,,,plow,HSK_8,6367,Y,7070.0
冖,mi4,,,Y,Y,,,,"""""""cover"""" radical in Chinese characters (Kangxi radical 14), occurring in 軍|军[jun1], 冠[guan1] etc, known as 禿寶蓋|秃宝盖[tu1 bao3 gai4] or 平寶蓋|平宝盖[ping2 bao3 gai4]""",HSK_8,7307,Y,7624.0
糸,mi4,,,Y,Y,,,,fine silk/Kangxi radical 120,HSK_8,7317,Y,7629.0
宀,mian2,,,Y,Y,,,,"""""""roof"""" radical (Kangxi radical 40), occurring in 家, 定, 安 etc, referred to as 寶蓋|宝盖[bao3 gai4]""",HSK_8,7325,Y,7634.0
疒,ne4,,,Y,Y,,,,sick/sickness/Kang Xi radical 104/also pr. [chuang2],HSK_8,7622,Y,7815.0
丿,pie3,,,Y,Y,,,,"radical in Chinese characters (Kangxi radical 4), aka 撇[pie3]",HSK_8,8109,Y,8095.0
攴,pu1,,,Y,Y,,,,to tap/to knock lightly/old variant of 撲|扑[pu1],HSK_8,8191,Y,8147.0
攵,pu1,,,Y,Y,,,,variant of 攴[pu1],HSK_8,8192,Y,8148.0
丬,qiang2,,爿,Y,Y,,,,"""""""piece of wood"""" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]""",HSK_8,8467,Y,8324.0
