zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
币,1649,,bi4,,,幣,,,HSK_1-Common-01,,,money/coins/currency/silk,,4.0,Y
干,233,,gan1,,,乾,Y,Y,HSK_1-Common-01,,,dry/dried food/empty;  hollow/taken in to nominal kinship;  (bound form) to have to do with;  to concern oneself with/one of the ten heavenly stems 天干[tian gan1]/(archaic) shield,,43.0,Y
干,3834,,gan4,,,幹,Y,Y,HSK_1-Common-01,,,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed,,44.0,Y
广,4183,,guang3,,,廣,Y,Y,HSK_1-Common-01,,,wide/numerous/to spread,,53.0,Y
广,11573,,yan3,,,,Y,Y,HSK_1-Common-01,,,"""""""house on a cliff"""" radical in Chinese characters (Kangxi radical 53), occurring in 店, 序, 底 etc""",,159.0,Y
开,5852,,kai1,,,開,,,HSK_1-Common-01,,,"to open/to start/to turn on/to boil/to write out (a prescription, check, invoice etc)/to operate (a vehicle)/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format",,76.0,Y
弓,3983,,gong1,,,,Y,Y,HSK_1-Common-01,,,a bow (weapon)/CL:張|张[zhang1]/to bend/to arch (one's back etc),,48.0,Y
心,11147,,xin1,,,,Y,Y,HSK_1-Common-01,,,"heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]",,155.0,Y
忆,11911,,yi4,,,憶,,,HSK_1-Common-01,,,to recollect/to remember/memory,,166.0,Y
户,4584,,hu4,,,戶,Y,Y,HSK_1-Common-01,,,a household/door/family,,56.0,Y
手,9434,,shou3,,,,Y,Y,HSK_1-Common-01,,,"hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill/CL:雙|双[shuang1],隻|只[zhi1]",,127.0,Y
才,142,,cai2,,,,,,HSK_1-Common-01,,,ability;  talent/sb of a certain type/a capable individual/then and only then/just now/(before an expression of quantity) only,,7.0,Y
扎,12533,,za1,,,紮,,,HSK_1-Common-01,,,"to tie/to bind/classifier for flowers, banknotes etc: bundle/Taiwan pr. [zha2]",,178.0,Y
扎,12655,,zha1,,,,,,HSK_1-Common-01,,,"""to prick/to run or stick (a needle etc) into/mug or jug used for serving beer (loanword from """"jar"""")""",,179.0,Y
支,12949,,zhi1,,,,Y,Y,HSK_1-Common-01,,,"to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions",,182.0,Y
文,10530,,wen2,,,,Y,Y,HSK_1-Common-01,,,language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67,,143.0,Y
斗,3152,,dou3,,,,Y,Y,HSK_1-Common-01,,,dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dou3],,25.0,Y
斗,3165,,dou4,,,鬥,Y,Y,HSK_1-Common-01,,,to fight/to struggle/to condemn/to censure/to contend/to put together/coming together,,26.0,Y
斤,5447,,jin1,,,,Y,Y,HSK_1-Common-01,,,"catty/(PRC) weight equal to 500 g/(Tw) weight equal to 600 g/(HK, Malaysia, Singapore) slightly over 604 g",,69.0,Y
方,3479,,fang1,,,,Y,Y,HSK_1-Common-01,,,"square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter",,32.0,Y
无,10616,,wu2,,,無,Y,Y,HSK_1-Common-01,,,not to have/no/none/not/to lack/un-/-less,,145.0,Y
日,8884,,ri4,,,,Y,Y,HSK_1-Common-01,,,"sun/day/date, day of the month",,113.0,Y
月,12465,,yue4,,,,Y,Y,HSK_1-Common-01,,,"moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]",,174.0,Y
木,189,,mu4,,,,Y,Y,HSK_1-Common-01,,,(bound form) tree/(bound form) wood/unresponsive;  numb,,89.0,Y
欠,8431,,qian4,,,,Y,Y,HSK_1-Common-01,,,to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body),,103.0,Y
止,13005,,zhi3,,,,Y,Y,HSK_1-Common-01,,,to stop/to prohibit/until/only,,184.0,Y
比,1633,,bi3,,,,,Y,HSK_1-Common-01,,,to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese),,3.0,Y
毛,7131,,mao2,,,,Y,Y,HSK_1-Common-01,,,"hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])",,86.0,Y
氏,9405,,shi4,,,,Y,Y,HSK_1-Common-01,,,clan name/maiden name,,126.0,Y
气,305,,qi4,,,氣,Y,Y,HSK_1-Common-01,,,gas;  air/smell/weather/to make angry,,101.0,Y
水,9542,,shui3,,,,Y,Y,HSK_1-Common-01,,,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes,,128.0,Y
火,4839,,huo3,,,,Y,Y,HSK_1-Common-01,,,fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86,,58.0,Y
爪,13233,,zhua3,,,,Y,Y,HSK_1-Common-01,,,(coll.) foot of an animal or bird/(coll.) foot supporting a cooking pot etc,,186.0,Y
父,3752,,fu4,,,,Y,Y,HSK_1-Common-01,,,father,,42.0,Y
片,8070,,pian1,,,,Y,Y,HSK_1-Common-01,,,disk/sheet,,96.0,Y
