zi,part
嚼,口
囂,页
囚,人
囚,囗
四,儿
四,囗
回,口
因,大
团,囗
团,才
囤,囗
囤,屯
囩,云
囩,囗
园,元
园,囗
困,木
囱,丶
囱,囗
囱,夕
围,韦
囹,令
囹,囗
固,古
固,囗
国,囗
国,玉
图,冬
图,囗
囿,囗
圃,囗
圃,甫
圄,囗
圆,员
圆,囗
圈,囗
圉,囗
國,囗
國,或
圍,囗
園,囗
圓,囗
圖,囗
團,囗
圛,囗
圜,囗
土,一
土,十
圣,又
圣,土
在,土
圪,乞
圪,土
圭,土
圮,土
圮,己
圯,土
地,也
地,土
场,土
场,易
圼,土
圼,日
圾,及
圾,土
址,土
址,止
坁,土
坁,氏
均,土
坊,土
坊,方
坋,分
坋,土
坎,土
坎,欠
坏,不
坏,土
坐,人
坐,土
坑,亢
坑,土
坒,土
坒,比
块,土
坙,一
坙,土
坙,巛
坚,土
坛,云
坛,土
坝,土
坞,乌
坞,土
坟,土
坠,土
坡,土
坡,皮
坤,土
坤,申
坥,且
坥,土
