id	zi	alias	pinyin	is_radical	is_active	desc_en
7650	伲	伲	ni3	0	0	variant of 你[ni3]
7661	伲	伲	ni4	0	0	(dialect) I/my/we/our
2592	伺	伺	ci4	0	0	to wait on
9596	伺	伺	si4	0	0	to watch/to wait/to examine/to spy
9384	似	似	shi4	0	0	used in 似的[shi4 de5]
9597	似	似	si4	0	0	to seem/to appear/to resemble/similar/-like/pseudo-/(more) than
9598	似	佀	si4	0	0	old variant of 似[si4]
3018	佃	佃	dian4	0	0	farmer
10031	佃	佃	tian2	0	0	to cultivate/to hunt
538	何	何	he2	0	0	surname He
4388	何	何	he2	0	0	what/how/why/which/carry
211	余	余	yu2	0	0	(literary) I;  me/variant of 餘|余[yu2]
1161	余	余	yu2	0	0	surname Yu
12286	余	餘	yu2	0	0	extra/surplus/remaining/remainder after division/(following numerical value) or more/in excess of (some number)/residue (math.)/after/I/me
3065	佚	佚	die2	0	0	old variant of 迭[die2]
1133	佚	佚	yi4	0	0	surname Yi
11887	佚	佚	yi4	0	0	lost/missing/forsaken/dissolute/(of a woman) beautiful/fault/offense/hermit/variant of 逸[yi4]
290	佛	佛	fo2	0	0	Buddha;  Buddhism (abbr. for 佛陀[Fo2 tuo2])
3667	佛	彿	fu2	0	0	seemingly
3709	佛	髴	fu2	0	0	(female) head ornament/variant of 彿|佛[fu2]
13499	作	作	zuo1	0	0	worker/workshop/(slang) troublesome/high-maintenance (person)
13510	作	作	zuo4	0	0	to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works
4004	佝	佝	gou1	0	0	used in 佝僂|佝偻[gou1 lou2]
6014	佝	佝	kou4	0	0	used in 佝瞀[kou4 mao4]
7651	你	你	ni3	0	0	you (informal, as opposed to courteous 您[nin2])
7654	你	妳	ni3	0	0	you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)
12126	佣	傭	yong1	0	0	to hire/to employ/servant/hired laborer/domestic help
12166	佣	佣	yong4	0	0	commission (for middleman)/brokerage fee
7953	佩	佩	pei4	0	0	to respect/to wear (belt etc)
7959	佩	珮	pei4	0	0	girdle ornaments
593	佳	佳	jia1	0	0	surname Jia
5048	佳	佳	jia1	0	0	beautiful/fine/good
401	佽	佽	ci4	0	0	surname Ci
2593	佽	佽	ci4	0	0	nimble/to help
5877	侃	侃	kan3	0	0	upright and honest/cheerful/to chat idly/to boast/to talk smoothly
5878	侃	偘	kan3	0	0	old variant of 侃[kan3]
12971	侄	侄	zhi2	0	0	variant of 姪|侄[zhi2]
12976	侄	妷	zhi2	0	0	variant of 姪|侄[zhi2]
12977	侄	姪	zhi2	0	0	nephew by the male line
438	侗	侗	dong4	0	0	Dong ethnic group (aka Kam people)
10140	侗	侗	tong2	0	0	ignorant
3975	供	供	gong1	0	0	to provide/to supply
4000	供	供	gong4	0	0	sacrificial offering/to confess  bizarre/contradictory  inconsistent
12852	侦	偵	zhen1	0	0	to scout/to spy/to detect
12877	侦	遉	zhen1	0	0	old variant of 偵|侦[zhen1]
2012	侧	側	ce4	0	0	the side/to incline towards/to lean/inclined/lateral/side
12701	侧	側	zhai1	0	0	lean on one side
551	侯	侯	hou2	0	0	surname Hou
4506	侯	侯	hou2	0	0	marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4]/nobleman; high official
1738	便	便	bian4	0	0	plain/informal/suitable/convenient/opportune/to urinate or defecate/equivalent to 就[jiu4]: then/in that case/even if/soon afterwards
8074	便	便	pian2	0	0	used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]
447	俄	俄	e2	0	0	Russia/Russian/abbr. for 俄羅斯|俄罗斯[E2 luo2 si1]/Taiwan pr. [E4]
3301	俄	俄	e2	0	0	suddenly/very soon
5820	俊	㑺	jun4	0	0	old variant of 俊[jun4]
5821	俊	俊	jun4	0	0	smart/eminent/handsome/talented
5822	俊	儁	jun4	0	0	variant of 俊[jun4]  hollow/tunnel  hole in the ground/(archaic) to bury alive/to hoodwink  to cheat (sb)
13497	俊	俊	zun4	0	0	(dialectal pronunciation of 俊[jun4])/cool/neat
685	俚	俚	li3	0	0	old name for the 黎[Li2] ethnic group
6433	俚	俚	li3	0	0	rustic/vulgar/unrefined/abbr. for 俚語|俚语[li3 yu3], slang
53	保	保	bao3	0	0	to defend;  to protect
332	保	保	bao3	0	0	Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]
9495	俞	俞	shu4	0	0	variant of 腧[shu4]
1162	俞	俞	yu2	0	0	surname Yu
12234	俞	俞	yu2	0	0	yes (used by Emperor or ruler)/OK/to accede/to assent
8255	俟	俟	qi2	0	0	used in 万俟[Mo4 qi2]
9599	俟	俟	si4	0	0	(literary) to wait for
9614	俟	竢	si4	0	0	variant of 俟[si4]
6525	俩	倆	lia3	0	0	two (colloquial equivalent of 兩個|两个)/both/some
6586	俩	倆	liang3	0	0	used in 伎倆|伎俩[ji4 liang3]
1078	修	修	xiu1	0	0	surname Xiu
11223	修	修	xiu1	0	0	to decorate/to embellish/to repair/to build/to write/to cultivate/to study/to take (a class)
11227	修	脩	xiu1	0	0	variant of 修[xiu1]
3716	俯	俛	fu3	0	0	variant of 俯[fu3]
3717	俯	俯	fu3	0	0	to look down/to stoop
9449	倏	倏	shu1	0	0	sudden/abrupt/Taiwan pr. [shu4]
9450	倏	倐	shu1	0	0	variant of 倏[shu1]
9451	倏	儵	shu1	0	0	variant of 倏[shu1]
105	倒	倒	dao3	0	0	to fall;  to collapse
58	倒	倒	dao4	0	0	to invert;  to place upside down or frontside back/to pour out/to tip out
5756	倔	倔	jue2	0	0	used in 倔強|倔强[jue2 jiang4]
145	倔	倔	jue4	0	0	gruff;  surly
2148	倘	倘	chang2	0	0	used in 倘佯[chang2 yang2]
146	倘	倘	tang3	0	0	if;  supposing
5536	倞	倞	jing4	0	0	strong/powerful
6593	倞	倞	liang4	0	0	distant/to seek/old variant of 亮[liang4]/bright
5429	借	借	jie4	0	0	to lend/to borrow/by means of/to take (an opportunity)
5437	借	藉	jie4	0	0	variant of 借[jie4]
5995	倥	倥	kong1	0	0	ignorant/blank-minded
6000	倥	倥	kong3	0	0	urgent/pressed
5731	倦	倦	juan4	0	0	tired
5733	倦	勌	juan4	0	0	old variant of 倦[juan4]
783	倪	倪	ni2	0	0	surname Ni
7632	倪	倪	ni2	0	0	(literary) small child/limit/bound/extremity/to differentiate/origin/cause
1108	偃	偃	yan3	0	0	surname Yan
